21:36:05 - Starting servent [9|localhost|1600]
21:36:05 - Backups cleaned
21:36:05 - Pausing for 10000 ms
21:40:11 - Sending message [9|1600|50|ping|PING|1200|17]
21:40:11 - Got message [17|1200|64|pong|PING|1600|9]
21:40:18 - Got message [62|1300|60|ping|PING|1600|9]
21:40:18 - Sending message [9|1600|51|pong|PING|1300|62]
21:40:20 - Sending message [9|1600|52|ping|PING|1200|17]
21:40:21 - Got message [17|1200|66|pong|PING|1600|9]
21:40:28 - Got message [62|1300|62|ping|PING|1600|9]
21:40:29 - Sending message [9|1600|53|pong|PING|1300|62]
21:40:30 - Sending message [9|1600|54|ping|PING|1200|17]
21:40:32 - Got message [17|1200|68|pong|PING|1600|9]
21:40:38 - Got message [62|1300|64|ping|PING|1600|9]
21:40:38 - Sending message [9|1600|55|pong|PING|1300|62]
21:40:40 - Sending message [9|1600|56|ping|PING|1200|17]
21:40:41 - Got message [17|1200|70|pong|PING|1600|9]
21:40:48 - Got message [62|1300|66|ping|PING|1600|9]
21:40:50 - Sending message [9|1600|57|pong|PING|1300|62]
21:40:50 - Sending message [9|1600|58|ping|PING|1200|17]
21:40:51 - Got message [17|1200|72|pong|PING|1600|9]
21:40:58 - Got message [62|1300|68|ping|PING|1600|9]
21:40:59 - Sending message [9|1600|59|pong|PING|1300|62]
21:41:00 - Sending message [9|1600|60|ping|PING|1200|17]
21:41:02 - Got message [17|1200|74|pong|PING|1600|9]
21:41:07 - Got message [62|1300|70|ping|PING|1600|9]
21:41:09 - Sending message [9|1600|61|pong|PING|1300|62]
21:41:10 - Sending message [9|1600|62|ping|PING|1200|17]
21:41:12 - Got message [17|1200|76|pong|PING|1600|9]
21:41:18 - Got message [62|1300|72|ping|PING|1600|9]
21:41:20 - Sending message [9|1600|63|pong|PING|1300|62]
21:41:20 - Sending message [9|1600|64|ping|PING|1200|17]
21:41:21 - Got message [17|1200|78|pong|PING|1600|9]
21:41:28 - Got message [62|1300|74|ping|PING|1600|9]
21:41:29 - Sending message [9|1600|65|pong|PING|1300|62]
21:41:30 - Sending message [9|1600|66|ping|PING|1200|17]
21:41:31 - Got message [17|1200|80|pong|PING|1600|9]
21:41:38 - Got message [62|1300|76|ping|PING|1600|9]
21:41:39 - Sending message [9|1600|67|pong|PING|1300|62]
21:41:40 - Sending message [9|1600|68|ping|PING|1200|17]
